Период,TNVED,product_type
Январь 2019,40,Импортная
Январь 2019,13,Отечественная
Февраль 2019,48,Импортная
Февраль 2019,38,Отечественная
Март 2019,75,Импортная
Март 2019,51,Отечественная
Апрель 2019,78,Импортная
Апрель 2019,55,Отечественная
Май 2019,72,Импортная
Май 2019,37,Отечественная
Июнь 2019,76,Импортная
Июнь 2019,89,Отечественная
Июль 2019,799,Импортная
Июль 2019,501,Отечественная
Август 2019,944,Импортная
Август 2019,553,Отечественная
Сентябрь 2019,509,Импортная
Сентябрь 2019,466,Отечественная
Октябрь 2019,258,Импортная
Октябрь 2019,188,Отечественная
Ноябрь 2019,164,Импортная
Ноябрь 2019,72,Отечественная
Декабрь 2019,219,Импортная
Декабрь 2019,86,Отечественная
Январь 2020,96,Импортная
Январь 2020,18,Отечественная
Февраль 2020,141,Импортная
Февраль 2020,45,Отечественная
Март 2020,116,Импортная
Март 2020,64,Отечественная
Апрель 2020,83,Импортная
Апрель 2020,61,Отечественная
Май 2020,63,Импортная
Май 2020,65,Отечественная
Июнь 2020,69,Импортная
Июнь 2020,103,Отечественная
Июль 2020,680,Импортная
Июль 2020,431,Отечественная
Август 2020,754,Импортная
Август 2020,528,Отечественная
Сентябрь 2020,834,Импортная
Сентябрь 2020,540,Отечественная
Октябрь 2020,352,Импортная
Октябрь 2020,278,Отечественная
Ноябрь 2020,190,Импортная
Ноябрь 2020,97,Отечественная
Декабрь 2020,217,Импортная
Декабрь 2020,113,Отечественная
Январь 2021,23,Импортная
Январь 2021,34,Отечественная
Февраль 2021,93,Импортная
Февраль 2021,45,Отечественная
Март 2021,163,Импортная
Март 2021,79,Отечественная
Апрель 2021,248,Импортная
Апрель 2021,132,Отечественная
Май 2021,110,Импортная
Май 2021,104,Отечественная
Июнь 2021,188,Импортная
Июнь 2021,126,Отечественная
Июль 2021,910,Импортная
Июль 2021,457,Отечественная
Август 2021,1119,Импортная
Август 2021,672,Отечественная
Сентябрь 2021,1068,Импортная
Сентябрь 2021,920,Отечественная
Октябрь 2021,628,Импортная
Октябрь 2021,499,Отечественная
Ноябрь 2021,261,Импортная
Ноябрь 2021,212,Отечественная
Декабрь 2021,242,Импортная
Декабрь 2021,160,Отечественная
Январь 2022,111,Импортная
Январь 2022,34,Отечественная
Февраль 2022,146,Импортная
Февраль 2022,54,Отечественная
Март 2022,197,Импортная
Март 2022,105,Отечественная
Апрель 2022,109,Импортная
Апрель 2022,90,Отечественная
Май 2022,74,Импортная
Май 2022,106,Отечественная
Июнь 2022,114,Импортная
Июнь 2022,190,Отечественная
Июль 2022,836,Импортная
Июль 2022,625,Отечественная
Август 2022,1121,Импортная
Август 2022,865,Отечественная
Сентябрь 2022,1224,Импортная
Сентябрь 2022,1028,Отечественная
Октябрь 2022,542,Импортная
Октябрь 2022,527,Отечественная
Ноябрь 2022,217,Импортная
Ноябрь 2022,124,Отечественная
Декабрь 2022,81,Импортная
Декабрь 2022,103,Отечественная
Январь 2023,8,Импортная
Январь 2023,13,Отечественная
Февраль 2023,14,Импортная
Февраль 2023,27,Отечественная
Март 2023,16,Импортная
Март 2023,46,Отечественная
Апрель 2023,17,Импортная
Апрель 2023,28,Отечественная
Май 2023,20,Импортная
Май 2023,24,Отечественная
Июнь 2023,69,Импортная
Июнь 2023,38,Отечественная
Июль 2023,2977,Импортная
Июль 2023,1668,Отечественная
Август 2023,3199,Импортная
Август 2023,1939,Отечественная
Сентябрь 2023,2865,Импортная
Сентябрь 2023,1876,Отечественная
